name,n,p,seed,time,ticks,sol_nodes,gap,time_lim,edges,cnnct_cmp,avg_clust,avg_deg,std_deg
gnp_0026,150,0.1,2,16.63,6810.06,"113.0
",0.0,False,1133,1,0.09343606670621073,15.106666666666667,3.4835741543548187
gnp_0027,150,0.1,3,21.59,9054.33,"113.0
",0.0,False,1106,1,0.0951741001115614,14.746666666666666,3.6809177599554648
gnp_0028,150,0.1,4,15.62,6776.06,"113.0
",0.0,False,1094,1,0.09549989314614431,14.586666666666666,3.6536496213451497
gnp_0029,150,0.1,5,4.67,1768.48,"110.0
",0.0,False,1068,1,0.09953711106201346,14.24,3.771259736480636
gnp_0030,150,0.3,1,26.93,12496.50,"134.0
",0.0,False,3365,1,0.30203050289057853,44.86666666666667,5.637572369577372
gnp_0031,150,0.3,2,26.90,12002.56,"133.0
",0.0,False,3383,1,0.3041145149447198,45.10666666666667,6.092778968217668
gnp_0032,150,0.3,3,27.69,11219.37,"133.0
",0.0,False,3315,1,0.2922090584706995,44.2,5.0898591991003705
gnp_0033,150,0.3,4,29.23,12890.81,"133.0
",0.0,False,3327,1,0.29953402798202244,44.36,5.529653394803933
gnp_0034,150,0.3,5,23.45,10459.81,"133.0
",0.0,False,3333,1,0.29997181491263725,44.44,5.66448585486803
gnp_0035,150,0.5,1,7.94,3560.45,"140.0
",0.0,False,5601,1,0.5016689538763095,74.68,5.902903240496719
gnp_0036,150,0.5,2,8.49,3791.19,"140.0
",0.0,False,5629,1,0.5034844226109358,75.05333333333333,6.0583679503825305
gnp_0037,150,0.5,3,9.20,4015.01,"140.0
",0.0,False,5629,1,0.5036381275935294,75.05333333333333,5.894389045713069
gnp_0038,150,0.5,4,8.41,3996.42,"140.0
",0.0,False,5641,1,0.5057368310348469,75.21333333333334,6.183404312261078
gnp_0039,150,0.5,5,8.72,4119.85,"140.0
",0.0,False,5556,1,0.4967557460531555,74.08,5.943646467727816
gnp_0040,150,0.7,1,4.81,2096.19,"143.0
",0.0,False,7830,1,0.7008499721333695,104.4,5.493025881363871
gnp_0041,150,0.7,2,3.43,1513.50,"143.0
",0.0,False,7872,1,0.7036136351023634,104.96,5.325260557005637
gnp_0042,150,0.7,3,4.24,1865.43,"143.0
",0.0,False,7820,1,0.69921661545457,104.26666666666667,5.239168721170267
gnp_0043,150,0.7,4,7.19,3200.37,"144.0
",0.0,False,7818,1,0.699138529118909,104.24,5.11426762433619
gnp_0044,150,0.7,5,5.18,2198.90,"143.0
",0.0,False,7806,1,0.6979084151804777,104.08,5.060329370044339
gnp_0045,150,0.9,1,1.94,787.75,"146.0
",0.0,False,10007,1,0.8953810670229029,133.42666666666668,3.525803296964947
gnp_0046,150,0.9,2,1.84,753.82,"146.0
",0.0,False,10103,1,0.9040306464407794,134.70666666666668,3.4670768988042684
gnp_0047,150,0.9,3,1.99,819.48,"146.0
",0.0,False,10038,1,0.8981412958407653,133.84,3.6259803272126745
gnp_0048,150,0.9,4,1.68,685.95,"146.0
",0.0,False,10078,1,0.901736510452112,134.37333333333333,3.4805108181925766
gnp_0049,150,0.9,5,1.85,749.73,"146.0
",0.0,False,10021,1,0.8963469711475273,133.61333333333334,3.1449147665539186
gnp_0050,200,0.1,1,1475.83,625931.81,"160.0
",0.0,False,2035,1,0.10353363216025951,20.35,4.527416481835971
gnp_0051,200,0.1,2,1519.16,684459.99,"159.0
",0.0,False,1948,1,0.09692539675676055,19.48,3.8548151706664227
gnp_0052,200,0.1,3,666.11,313227.13,"158.0
",0.0,False,1976,1,0.1020103420640815,19.76,3.9613634016585753
gnp_0053,200,0.1,4,1387.04,586134.40,"159.0
",0.0,False,1943,1,0.09899828921446233,19.43,3.968009576601347
gnp_0054,200,0.1,5,338.19,152814.57,"157.0
",0.0,False,1962,1,0.1007685711738307,19.62,4.274997076022392
gnp_0055,200,0.3,1,180.41,71972.83,"181.0
",0.0,False,5968,1,0.2991868860687373,59.68,6.622507078138913
gnp_0056,200,0.3,2,244.83,111137.41,"182.0
",0.0,False,5983,1,0.30105347878525285,59.83,6.416470992687491
gnp_0057,200,0.3,3,203.29,100009.24,"182.0
",0.0,False,5930,1,0.29953590492643634,59.3,6.3039670049897945
gnp_0058,200,0.3,4,283.54,119822.44,"182.0
",0.0,False,5952,1,0.29868159217536155,59.52,5.731457057328442
gnp_0059,200,0.3,5,260.70,119784.13,"182.0
",0.0,False,5935,1,0.29892959812128445,59.35,6.745924695695913
gnp_0060,200,0.5,1,68.17,31741.40,"189.0
",0.0,False,9915,1,0.4984304147562806,99.15,7.226167725703577
