name,n,d,seed,time,ticks,sol_nodes,gap,time_lim,edges,cnnct_cmp,avg_clust,std_dev_clust
rrg_00068,100,7,9,0.02,5.24,"151.0
",0.0,False,300,3,0.01,0.09949874371066199
rrg_00069,100,7,10,0.02,6.84,"150.0
",0.0,False,300,5,0.0,0.0
rrg_00070,100,7,11,0.02,5.56,"151.0
",0.0,False,300,3,0.01,0.09949874371066199
rrg_00071,100,7,12,0.09,24.86,"151.0
",0.0,False,300,4,0.0,0.0
rrg_00072,100,7,13,0.02,5.05,"151.0
",0.0,False,300,3,0.02,0.13999999999999999
rrg_00073,100,7,14,0.01,4.12,"150.0
",0.0,False,300,2,0.0,0.0
rrg_00074,100,7,15,0.02,6.57,"151.0
",0.0,False,300,4,0.01,0.09949874371066199
rrg_00075,100,10,1,0.03,7.38,"250.0
",0.0,False,500,2,0.0,0.0
rrg_00076,100,10,2,0.02,7.06,"250.0
",0.0,False,500,2,0.0,0.0
rrg_00077,100,10,3,0.02,6.41,"250.0
",0.0,False,500,1,0.0,0.0
rrg_00078,100,10,4,0.02,6.94,"250.0
",0.0,False,500,2,0.0,0.0
rrg_00079,100,10,5,0.17,46.17,"251.0
",0.0,False,500,3,0.006,0.0772269383052313
rrg_00080,100,10,6,0.10,27.29,"252.0
",0.0,False,500,4,0.0,0.0
rrg_00081,100,10,7,0.02,6.14,"250.0
",0.0,False,500,1,0.0,0.0
rrg_00082,100,10,8,0.02,7.85,"250.0
",0.0,False,500,4,0.0,0.0
rrg_00083,100,10,9,0.06,16.82,"251.0
",0.0,False,500,4,0.0,0.0
rrg_00084,100,10,10,0.02,6.51,"250.0
",0.0,False,500,1,0.0,0.0
rrg_00085,100,10,11,0.03,8.24,"250.0
",0.0,False,500,3,0.0,0.0
rrg_00086,100,10,12,0.15,42.58,"252.0
",0.0,False,500,5,0.006,0.0772269383052313
rrg_00087,100,10,13,0.03,9.84,"251.0
",0.0,False,500,4,0.006,0.07722693830523132
rrg_00088,100,10,14,0.02,6.73,"250.0
",0.0,False,500,3,0.0,0.0
rrg_00089,100,10,15,0.02,7.89,"250.0
",0.0,False,500,4,0.0,0.0
rrg_00090,100,20,1,0.21,50.48,"55.0
",0.0,False,150,1,0.019999999999999997,0.07916228058025275
rrg_00091,100,20,2,0.18,44.01,"56.0
",0.0,False,150,1,0.03,0.09539392014169458
rrg_00092,100,20,3,0.15,32.81,"55.0
",0.0,False,150,1,0.02,0.07916228058025276
rrg_00093,100,20,4,0.39,95.30,"55.0
",0.0,False,150,1,0.01,0.05686240703077327
rrg_00094,100,20,5,0.32,74.98,"55.0
",0.0,False,150,1,0.02,0.07916228058025275
rrg_00095,100,20,6,0.31,70.10,"56.0
",0.0,False,150,1,0.04,0.1083205120618128
rrg_00096,100,20,7,0.36,88.53,"56.0
",0.0,False,150,1,0.02,0.07916228058025275
rrg_00097,100,20,8,0.13,32.28,"55.0
",0.0,False,150,1,0.01,0.05686240703077327
rrg_00098,100,20,9,0.19,49.11,"56.0
",0.0,False,150,1,0.019999999999999997,0.07916228058025276
rrg_00099,100,20,10,0.28,71.40,"56.0
",0.0,False,150,1,0.02,0.07916228058025275
rrg_00100,100,20,11,0.35,85.87,"56.0
",0.0,False,150,1,0.039999999999999994,0.10832051206181281
rrg_00101,100,20,12,0.32,79.69,"57.0
",0.0,False,150,1,0.04,0.10832051206181281
rrg_00102,100,20,13,0.36,84.96,"57.0
",0.0,False,150,1,0.04,0.10832051206181283
rrg_00103,100,20,14,0.08,20.63,"57.0
",0.0,False,150,1,0.039999999999999994,0.10832051206181281
rrg_00104,100,20,15,0.40,97.72,"56.0
",0.0,False,150,1,0.01,0.05686240703077326
rrg_00105,100,30,1,0.47,110.94,"83.0
",0.0,False,225,1,0.02,0.07916228058025278
rrg_00106,100,30,2,0.92,212.61,"83.0
",0.0,False,225,1,0.006666666666666667,0.04666666666666666
rrg_00107,100,30,3,0.51,133.11,"84.0
",0.0,False,225,1,0.006666666666666667,0.04666666666666666
rrg_00108,100,30,4,0.71,181.20,"84.0
",0.0,False,225,1,0.026666666666666665,0.10554970744033704
rrg_00109,100,30,5,0.64,161.29,"84.0
",0.0,False,225,1,0.02,0.07916228058025278
rrg_00110,100,30,6,0.75,184.20,"84.0
",0.0,False,225,1,0.03333333333333333,0.1138550085106622
rrg_00111,100,30,7,0.64,152.58,"83.0
",0.0,False,225,1,0.013333333333333334,0.06531972647421809
rrg_00112,100,30,8,0.65,154.11,"83.0
",0.0,False,225,1,0.013333333333333332,0.0653197264742181
rrg_00113,100,30,9,0.22,52.76,"84.0
",0.0,False,225,1,0.02,0.07916228058025276
rrg_00114,100,30,10,0.48,133.65,"84.0
",0.0,False,225,1,0.0,0.0
rrg_00115,100,30,11,0.57,130.56,"83.0
",0.0,False,225,1,0.019999999999999997,0.07916228058025276
rrg_00116,100,30,12,0.73,176.45,"84.0
",0.0,False,225,1,0.02,0.07916228058025275
rrg_00117,100,30,13,0.86,218.95,"84.0
",0.0,False,225,1,0.02,0.07916228058025278
rrg_00118,100,30,14,0.83,205.51,"85.0
",0.0,False,225,1,0.039999999999999994,0.10832051206181281
rrg_00119,100,30,15,0.87,231.24,"84.0
",0.0,False,225,1,0.013333333333333334,0.06531972647421809
rrg_00120,150,2,1,1.55,412.41,"112.0
",0.0,False,300,1,0.005,0.040517485937144056
rrg_00121,150,2,2,0.97,261.82,"111.0
",0.0,False,300,1,0.009999999999999998,0.05686240703077326
rrg_00122,150,2,3,1.81,568.58,"112.0
",0.0,False,300,1,0.014999999999999998,0.06910137480542626
rrg_00123,150,2,4,1.91,526.71,"111.0
",0.0,False,300,1,0.005,0.040517485937144056
rrg_00124,150,2,5,1.29,356.69,"111.0
",0.0,False,300,1,0.015,0.06910137480542626
rrg_00125,150,2,6,1.40,411.19,"111.0
",0.0,False,300,1,0.005,0.040517485937144056
rrg_00126,150,2,7,1.48,409.29,"111.0
",0.0,False,300,1,0.005,0.040517485937144056
rrg_00127,150,2,8,1.77,474.87,"111.0
",0.0,False,300,1,0.01,0.05686240703077327
rrg_00128,150,2,9,2.07,652.62,"111.0
",0.0,False,300,1,0.0,0.0
rrg_00129,150,2,10,1.49,401.18,"111.0
",0.0,False,300,1,0.005,0.040517485937144056
rrg_00130,150,2,11,1.41,346.85,"111.0
",0.0,False,300,1,0.01,0.05686240703077327
rrg_00131,150,2,12,1.31,356.76,"112.0
",0.0,False,300,1,0.01,0.05686240703077326
rrg_00132,150,2,13,1.78,559.24,"112.0
",0.0,False,300,1,0.015,0.06910137480542626
rrg_00133,150,2,14,1.17,309.90,"110.0
",0.0,False,300,1,0.0,0.0
rrg_00134,150,2,15,1.49,429.93,"111.0
",0.0,False,300,1,0.015,0.06910137480542626
rrg_00135,150,3,1,2.58,844.24,"138.0
",0.0,False,375,1,0.004,0.03629508690350987
rrg_00136,150,3,2,5.84,2211.18,"139.0
",0.0,False,375,1,0.007999999999999998,0.051016337252557296
