name,n,p,seed,time,ticks,sol_nodes,gap,time_lim,edges,cnnct_cmp,avg_clust,std_dev_clust
gnp_0046,150,0.9,2,1.84,753.82,"146.0
",0.0,False,10103,1,0.9040306464407794,0.0015116549200892746
gnp_0047,150,0.9,3,1.99,819.48,"146.0
",0.0,False,10038,1,0.8981412958407653,0.0014360377462042176
gnp_0048,150,0.9,4,1.68,685.95,"146.0
",0.0,False,10078,1,0.901736510452112,0.0012792566702066945
gnp_0049,150,0.9,5,1.85,749.73,"146.0
",0.0,False,10021,1,0.8963469711475273,0.0011070176679048764
gnp_0050,200,0.1,1,1475.83,625931.81,"160.0
",0.0,False,2035,1,0.10353363216025951,0.02397810392043229
gnp_0051,200,0.1,2,1519.16,684459.99,"159.0
",0.0,False,1948,1,0.09692539675676055,0.02193597160344022
gnp_0052,200,0.1,3,666.11,313227.13,"158.0
",0.0,False,1976,1,0.1020103420640815,0.021171955367027227
gnp_0053,200,0.1,4,1387.04,586134.40,"159.0
",0.0,False,1943,1,0.09899828921446233,0.02509865615107381
gnp_0054,200,0.1,5,338.19,152814.57,"157.0
",0.0,False,1962,1,0.1007685711738307,0.026131166323087283
gnp_0055,200,0.3,1,180.41,71972.83,"181.0
",0.0,False,5968,1,0.2991868860687373,0.012034826341787921
gnp_0056,200,0.3,2,244.83,111137.41,"182.0
",0.0,False,5983,1,0.30105347878525285,0.011032324845203475
gnp_0057,200,0.3,3,203.29,100009.24,"182.0
",0.0,False,5930,1,0.29953590492643634,0.011176232631916878
gnp_0058,200,0.3,4,283.54,119822.44,"182.0
",0.0,False,5952,1,0.29868159217536155,0.009527876158761838
gnp_0059,200,0.3,5,260.70,119784.13,"182.0
",0.0,False,5935,1,0.29892959812128445,0.010757763418981147
gnp_0060,200,0.5,1,68.17,31741.40,"189.0
",0.0,False,9915,1,0.4984304147562806,0.005745122285570586
gnp_0061,200,0.5,2,70.65,31000.51,"189.0
",0.0,False,9975,1,0.5009524215168774,0.006455179269921584
gnp_0062,200,0.5,3,63.28,31666.61,"189.0
",0.0,False,9942,1,0.49984047782696217,0.006090728859873547
gnp_0063,200,0.5,4,69.84,32669.12,"189.0
",0.0,False,10066,1,0.5045919325641443,0.00568964984043542
gnp_0064,200,0.5,5,57.02,28302.21,"189.0
",0.0,False,9956,1,0.49971986924130973,0.0060236211639422485
gnp_0065,200,0.7,1,22.66,10585.22,"193.0
",0.0,False,13953,1,0.7014919803009266,0.0030583376769430393
gnp_0066,200,0.7,2,25.93,11939.33,"193.0
",0.0,False,13910,1,0.6988332555391793,0.0032799199665348258
gnp_0067,200,0.7,3,25.27,10705.60,"193.0
",0.0,False,13912,1,0.699096165238864,0.003347144705247629
gnp_0068,200,0.7,4,22.22,10408.79,"193.0
",0.0,False,13907,1,0.6987179040827576,0.003146766476876999
gnp_0069,200,0.7,5,22.95,10128.05,"193.0
",0.0,False,13914,1,0.6989777134556868,0.003353388442905054
gnp_0070,200,0.9,1,5.42,2188.01,"196.0
",0.0,False,17874,1,0.8981371429121937,0.0010545707757008515
gnp_0071,200,0.9,2,5.52,2226.77,"196.0
",0.0,False,17909,1,0.8998431970740896,0.0008729936641272355
gnp_0072,200,0.9,3,4.12,1776.94,"196.0
",0.0,False,17935,1,0.9014192901081947,0.0010469059931477425
gnp_0073,200,0.9,4,4.81,1938.40,"196.0
",0.0,False,17915,1,0.9001187318111065,0.0009793352715310314
gnp_0074,200,0.9,5,5.09,2382.99,"196.0
",0.0,False,17864,1,0.897722022425338,0.0009943731143110613
gnp_0075,250,0.1,1,1801.81,885756.20,"206.0
",0.05085018129283292,True,3163,1,0.10118580195383751,0.017495904711217473
gnp_0076,250,0.1,2,1801.72,880590.80,"206.0
",0.05289609922934759,True,3094,1,0.09980210353814203,0.016289292331484646
gnp_0077,250,0.1,3,1802.12,902049.34,"206.0
",0.05292151569830992,True,3078,1,0.0982489001400366,0.01803496973491973
